ApplNo,Form,DrugName,ActiveIngredient,ApplType,SponsorName,ApplicationDocsURL
4782,TABLET;ORAL,PREMARIN,"ESTROGENS, CONJUGATED",NDA,WYETH PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/004782s176lbl.pdf
5213,TABLET;ORAL,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,NDA,GENUS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005213Orig1s044lbl.pdf
5378,TABLET;ORAL,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,NDA,KEY THERAP,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/005378s037lbl.pdf
5939,INJECTABLE;INJECTION,BAL,DIMERCAPROL,NDA,AKORN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/005939s007lbl.pdf
6035,INJECTABLE;INJECTION,METHERGINE,METHYLERGONOVINE MALEATE,NDA,EDISON THERAPS LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/006035s078lbl.pdf
6188,TABLET;ORAL,PROPYLTHIOURACIL,PROPYLTHIOURACIL,NDA,DAVA PHARMS INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/006188s026lbl.pdf
6488,INJECTABLE;INJECTION,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,NDA,FRESENIUS KABI USA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/006488s097lbl.pdf
7073,TABLET;ORAL,AZULFIDINE,SULFASALAZINE,NDA,PFIZER,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/007073s133lbl.pdf
7337,TABLET;ORAL,PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE,NDA,ENDO PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/007337s053lbl.pdf
7513,INJECTABLE;INJECTION,LEVOPHED,NOREPINEPHRINE BITARTRATE,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/007513s045lbl.pdf
8316,TABLET;ORAL,PRIMAQUINE,PRIMAQUINE PHOSPHATE,NDA,SANOFI AVENTIS US,http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/008316s023lbl.pdf
8370,INJECTABLE;INJECTION,BENTYL,DICYCLOMINE HYDROCHLORIDE,NDA,ALLERGAN,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/007409s042,008370s033lbl.pdf"
8372,INJECTABLE;INJECTION,ACTHAR GEL,CORTICOTROPIN,NDA,MALLINCKRODT ARD,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008372s071lbl.pdf
8453,INJECTABLE;INJECTION,ANECTINE,SUCCINYLCHOLINE CHLORIDE,NDA,SANDOZ INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008453s040lbl.pdf
8578,TABLET;ORAL,DARAPRIM,PYRIMETHAMINE,NDA,VYERA PHARMS LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/pre96/008578s020lbl.pdf
8697,TABLET;ORAL,CORTEF,HYDROCORTISONE,NDA,PHARMACIA AND UPJOHN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/008697s036lbl.pdf
8708,CAPSULE;ORAL,DIBENZYLINE,PHENOXYBENZAMINE HYDROCHLORIDE,NDA,CONCORDIA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/008708s025lbl.pdf
8762,SUSPENSION;ORAL,DILANTIN-125,PHENYTOIN,NDA,VIATRIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf
8845,INJECTABLE;INJECTION,QUELICIN,SUCCINYLCHOLINE CHLORIDE,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008845s080lbl.pdf
8922,INJECTABLE;INJECTION,CALCIUM DISODIUM VERSENATE,EDETATE CALCIUM DISODIUM,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/008922s016lbl.pdf
9053,TABLET;ORAL,PURINETHOL,MERCAPTOPURINE,NDA,STASON PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009053s040lbl.pdf
9112,LOTION;TOPICAL,EURAX,CROTAMITON,NDA,JOURNEY,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/06927slr030,09112slr021_eurax_lbl.pdf"
9170,TABLET;ORAL,MYSOLINE,PRIMIDONE,NDA,VALEANT,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009170Orig1s040lbl.pdf
9175,SUSPENSION;ORAL,FURADANTIN,NITROFURANTOIN,NDA,CASPER PHARMA LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009175Orig1s048lbl.pdf
9190,"OIL;INTRALYMPHATIC, INTRAUTERINE",LIPIODOL,ETHIODIZED OIL,NDA,GUERBET,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009190s029s031lbl.pdf
9330,INJECTABLE;INJECTION,LANOXIN,DIGOXIN,NDA,COVIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009330Orig1s036lbl.pdf
9386,TABLET;ORAL,MYLERAN,BUSULFAN,NDA,WOODWARD SPECL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/09386slr023_myleran_lbl.pdf
9402,INJECTABLE;INJECTION,DELESTROGEN,ESTRADIOL VALERATE,NDA,PAR STERILE PRODUCTS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/009402Orig1s060lbl.pdf
9435,INJECTABLE;INJECTION,NESACAINE,CHLOROPROCAINE HYDROCHLORIDE,NDA,FRESENIUS KABI USA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/009435s044lbl.pdf
9768,TABLET;ORAL,PLAQUENIL,HYDROXYCHLOROQUINE SULFATE,NDA,CONCORDIA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/009768s056lbl.pdf
